CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,Occupation,FrequencyOfWebsiteVisits,Churn
698 ,64 ,Female,Miami,Bronze,94 ,1459 ,Clothing,11/13/2023,Engineer,Rarely,1
1212 ,33 ,Other,Los Angeles,Platinum,92 ,590 ,Sports,11/19/2023,Engineer,Monthly,0
896 ,22 ,Male,Seattle,Bronze,38 ,4667 ,Electronics,5/18/2023,Salesperson,Rarely,0
1461 ,55 ,Female,Houston,Platinum,17 ,131 ,Clothing,1/12/2023,Other,Rarely,1
195 ,42 ,Other,Seattle,Silver,1 ,1047 ,Sports,10/31/2023,Salesperson,Rarely,0
1177 ,37 ,Other,Houston,Bronze,58 ,2199 ,Electronics,4/26/2023,Artist,Monthly,0
1260 ,27 ,Male,Los Angeles,Silver,84 ,401 ,Sports,8/18/2023,Retired,Rarely,1
1105 ,67 ,Other,Seattle,Platinum,40 ,1696 ,Home Goods,7/18/2023,Artist,Weekly,1
485 ,34 ,Female,Los Angeles,Gold,41 ,998 ,Electronics,8/10/2023,Other,Monthly,1
991 ,,Male,Los Angeles,Platinum,,,,7/26/2023,Artist,Weekly,1
1180 ,44 ,Other,Los Angeles,Platinum,62 ,1001 ,Sports,9/27/2023,Other,Daily,1
461 ,55 ,Female,Houston,Platinum,17 ,131 ,Clothing,1/12/2023,Other,Rarely,1
1352 ,34 ,Female,Miami,Gold,7 ,1893 ,Electronics,9/14/2023,Salesperson,Rarely,1
422 ,44 ,Male,Los Angeles,Silver,64 ,63 ,Books,9/7/2023,Retired,Monthly,0
597 ,33 ,Female,New York,Bronze,2 ,1054 ,Clothing,12/29/2023,Artist,Monthly,1
1033 ,23 ,Female,Los Angeles,Gold,76 ,251 ,Books,7/23/2023,Other,Weekly,1
1432 ,26 ,Female,Seattle,Silver,74 ,1617 ,Clothing,10/3/2023,Doctor,Weekly,0
573 ,,Male,Los Angeles,Silver,,,,6/10/2023,Engineer,Monthly,1
497 ,27 ,Female,New York,Platinum,2 ,2113 ,Home Goods,5/16/2023,Teacher,Weekly,0
1245 ,,Male,Houston,Platinum,,,,12/15/2023,Other,Daily,1
305 ,68 ,Other,Seattle,Silver,76 ,2476 ,Home Goods,9/17/2023,Student,Weekly,0
269 ,21 ,Male,Miami,Gold,99 ,320 ,Books,4/29/2023,Salesperson,Rarely,1
310 ,36 ,Female,Seattle,Gold,18 ,315 ,Sports,7/23/2023,Teacher,Rarely,1
1372 ,29 ,Male,Chicago,Gold,51 ,466 ,Books,4/16/2023,Doctor,Weekly,0
536 ,18 ,Other,Los Angeles,Silver,42 ,368 ,Sports,11/20/2023,Student,Daily,1
1049 ,27 ,Male,Chicago,Bronze,72 ,861 ,Clothing,3/7/2023,Artist,Weekly,1
454 ,62 ,Female,New York,Silver,47 ,811 ,Home Goods,9/13/2023,Student,Daily,1
924 ,67 ,Other,Chicago,Platinum,50 ,2625 ,Electronics,2/19/2023,Salesperson,Weekly,0
548 ,19 ,Male,Chicago,Platinum,17 ,539 ,Clothing,11/6/2023,Artist,Daily,0
986 ,66 ,Other,Seattle,Bronze,61 ,653 ,Clothing,1/6/2023,Retired,Weekly,1
1383 ,22 ,Other,Miami,Bronze,76 ,2925 ,Electronics,4/17/2023,Engineer,Monthly,0
1056 ,68 ,Other,Seattle,Bronze,9 ,2350 ,Electronics,11/29/2023,Artist,Rarely,1
141 ,38 ,Male,Seattle,Bronze,75 ,656 ,Sports,4/2/2023,Teacher,Daily,1
436 ,40 ,Other,Chicago,Platinum,18 ,785 ,Toys,10/7/2023,Artist,Monthly,1
1054 ,53 ,Female,Los Angeles,Silver,92 ,774 ,Toys,8/6/2023,Engineer,Daily,1
302 ,,Other,Miami,Silver,,,,1/7/2023,Student,Daily,1
1048 ,19 ,Male,Chicago,Platinum,17 ,539 ,Clothing,11/6/2023,Artist,Daily,0
522 ,42 ,Female,Chicago,Silver,75 ,238 ,Books,9/28/2023,Teacher,Daily,0
1044 ,37 ,Other,Houston,Bronze,5 ,221 ,Books,1/24/2023,Engineer,Weekly,1
528 ,27 ,Female,Miami,Bronze,75 ,916 ,Toys,9/18/2023,Salesperson,Rarely,0
1069 ,,Female,Los Angeles,Gold,,,,9/30/2023,Engineer,Weekly,0
1174 ,66 ,Female,Los Angeles,Gold,32 ,2914 ,Electronics,11/2/2023,Salesperson,Rarely,0
168 ,20 ,Female,Houston,Gold,75 ,1021 ,Sports,2/28/2023,Student,Weekly,0
463 ,45 ,Other,Chicago,Silver,67 ,99 ,Toys,7/7/2023,Retired,Daily,0
391 ,18 ,Female,Miami,Gold,31 ,954 ,Toys,3/24/2023,Teacher,Weekly,0
824 ,57 ,Male,Los Angeles,Gold,18 ,2261 ,Home Goods,10/17/2023,Artist,Rarely,0
630 ,68 ,Male,Houston,Bronze,10 ,372 ,Books,10/25/2023,Retired,Daily,0
49 ,27 ,Male,Chicago,Bronze,72 ,861 ,Clothing,3/7/2023,Artist,Weekly,1
873 ,46 ,Other,Chicago,Platinum,16 ,132 ,Sports,11/21/2023,Engineer,Daily,1
112 ,48 ,Other,Seattle,Silver,92 ,3633 ,Electronics,11/19/2023,Retired,Daily,1
794 ,35 ,Female,Miami,Gold,85 ,739 ,Toys,10/30/2023,Retired,Daily,0
632 ,41 ,Female,Seattle,Platinum,78 ,857 ,Toys,4/7/2023,Teacher,Rarely,1
858 ,69 ,Male,Los Angeles,Silver,3 ,385 ,Clothing,4/1/2023,Other,Weekly,1
387 ,,Male,Miami,Gold,,,,12/30/2023,Teacher,Weekly,0
1079 ,36 ,Male,Houston,Bronze,84 ,778 ,Toys,11/29/2023,Student,Monthly,0
1397 ,57 ,Other,Houston,Silver,44 ,428 ,Books,1/25/2023,Other,Rarely,1
1427 ,62 ,Male,Chicago,Bronze,62 ,124 ,Books,2/20/2023,Retired,Rarely,1
1135 ,53 ,Male,Houston,Silver,86 ,1496 ,Clothing,11/5/2023,Doctor,Rarely,1
772 ,28 ,Other,Miami,Gold,40 ,471 ,Home Goods,8/24/2023,Student,Rarely,0
81 ,18 ,Other,Chicago,Silver,58 ,396 ,Clothing,5/31/2023,Retired,Weekly,1
513 ,24 ,Male,Los Angeles,Bronze,35 ,2561 ,Electronics,2/6/2023,Other,Monthly,1
637 ,21 ,Other,New York,Bronze,10 ,643 ,Clothing,2/6/2023,Other,Daily,0
108 ,53 ,Other,Los Angeles,Gold,1 ,635 ,Home Goods,7/3/2023,Salesperson,Rarely,1
578 ,64 ,Other,Chicago,Platinum,24 ,724 ,Sports,3/25/2023,Salesperson,Weekly,0
1408 ,36 ,Male,Chicago,Silver,39 ,293 ,Home Goods,6/10/2023,Other,Monthly,1
1478 ,66 ,Male,New York,Bronze,92 ,1038 ,Electronics,3/23/2023,Salesperson,Monthly,0
828 ,35 ,Female,Los Angeles,Gold,60 ,1895 ,Electronics,4/27/2023,Teacher,Weekly,0
951 ,42 ,Female,New York,Platinum,98 ,3721 ,Electronics,6/10/2023,Engineer,Daily,0
598 ,38 ,Male,Houston,Platinum,48 ,345 ,Sports,12/16/2023,Engineer,Daily,1
61 ,54 ,Other,Miami,Platinum,98 ,4334 ,Electronics,10/20/2023,Engineer,Monthly,0
499 ,65 ,Female,Houston,Platinum,78 ,1331 ,Sports,6/21/2023,Other,Daily,0
120 ,,Female,Los Angeles,Silver,,,,10/12/2023,Doctor,Daily,0
376 ,50 ,Female,Chicago,Platinum,61 ,1721 ,Home Goods,2/19/2023,Doctor,Weekly,1
1157 ,50 ,Male,New York,Bronze,36 ,2087 ,Electronics,6/16/2023,Engineer,Weekly,0
621 ,52 ,Other,Chicago,Bronze,69 ,268 ,Clothing,8/21/2023,Teacher,Monthly,1
640 ,53 ,Male,Chicago,Bronze,65 ,848 ,Home Goods,9/3/2023,Other,Weekly,1
1285 ,58 ,Other,Chicago,Platinum,60 ,1231 ,Sports,7/1/2023,Doctor,Weekly,1
882 ,36 ,Male,Houston,Bronze,57 ,3567 ,Electronics,8/25/2023,Engineer,Weekly,1
1088 ,22 ,Other,Houston,Silver,45 ,4849 ,Electronics,1/11/2023,Doctor,Weekly,0
369 ,31 ,Other,Seattle,Platinum,4 ,124 ,Clothing,1/23/2023,Artist,Weekly,0
1379 ,40 ,Male,Seattle,Gold,30 ,3936 ,Electronics,4/14/2023,Artist,Daily,1
645 ,32 ,Male,Los Angeles,Silver,72 ,2774 ,Electronics,10/12/2023,Engineer,Daily,1
871 ,18 ,Male,Houston,Platinum,58 ,447 ,Toys,10/4/2023,Salesperson,Rarely,0
20 ,,Male,Chicago,Bronze,,,,7/4/2023,Teacher,Daily,1
1094 ,54 ,Other,Houston,Silver,72 ,397 ,Books,3/24/2023,Artist,Monthly,1
332 ,46 ,Male,Miami,Silver,18 ,2611 ,Home Goods,10/27/2023,Engineer,Rarely,0
202 ,51 ,Female,Miami,Bronze,17 ,963 ,Toys,4/11/2023,Retired,Weekly,1
284 ,23 ,Female,Chicago,Bronze,62 ,324 ,Toys,2/24/2023,Retired,Rarely,0
899 ,63 ,Male,Miami,Platinum,46 ,271 ,Books,10/10/2023,Engineer,Daily,0
4 ,21 ,Other,Los Angeles,Bronze,51 ,1307 ,Electronics,10/10/2023,Student,Monthly,0
1093 ,30 ,Other,Houston,Gold,15 ,152 ,Books,1/9/2023,Doctor,Weekly,0
444 ,38 ,Female,New York,Bronze,72 ,519 ,Clothing,11/28/2023,Retired,Weekly,0
397 ,57 ,Other,Houston,Silver,44 ,428 ,Books,1/25/2023,Other,Rarely,1
554 ,53 ,Female,Los Angeles,Silver,92 ,774 ,Toys,8/6/2023,Engineer,Daily,1
1232 ,56 ,Other,Houston,Bronze,25 ,140 ,Books,10/18/2023,Salesperson,Daily,1
1246 ,65 ,Male,Chicago,Silver,31 ,304 ,Clothing,4/13/2023,Salesperson,Rarely,0
1238 ,50 ,Female,Chicago,Gold,6 ,1741 ,Home Goods,4/20/2023,Salesperson,Rarely,1
1252 ,41 ,Female,New York,Platinum,72 ,293 ,Toys,2/24/2023,Teacher,Rarely,1
50 ,50 ,Other,Seattle,Silver,25 ,194 ,Books,3/10/2023,Student,Weekly,1
588 ,22 ,Other,Houston,Silver,45 ,4849 ,Electronics,1/11/2023,Doctor,Weekly,0
704 ,50 ,Male,Houston,Gold,27 ,488 ,Books,12/15/2023,Other,Monthly,1
1473 ,18 ,Male,Miami,Silver,15 ,1157 ,Sports,7/7/2023,Student,Rarely,1
105 ,67 ,Other,Seattle,Platinum,40 ,1696 ,Home Goods,7/18/2023,Artist,Weekly,1
1167 ,42 ,Female,Houston,Bronze,75 ,652 ,Sports,11/25/2023,Doctor,Monthly,0
256 ,47 ,Female,Houston,Bronze,26 ,241 ,Clothing,11/19/2023,Other,Weekly,0
714 ,36 ,Male,New York,Platinum,15 ,893 ,Sports,10/4/2023,Student,Rarely,1
676 ,26 ,Female,Seattle,Silver,92 ,260 ,Toys,9/7/2023,Artist,Daily,1
224 ,42 ,Female,Chicago,Platinum,33 ,2035 ,Electronics,2/8/2023,Salesperson,Monthly,1
465 ,51 ,Male,Houston,Gold,32 ,1231 ,Clothing,12/19/2023,Doctor,Monthly,0
670 ,48 ,Other,Miami,Platinum,92 ,956 ,Toys,12/31/2023,Teacher,Weekly,1
1356 ,42 ,Other,Chicago,Bronze,73 ,56 ,Books,3/20/2023,Teacher,Monthly,1
747 ,58 ,Male,Seattle,Gold,72 ,1511 ,Home Goods,9/8/2023,Teacher,Rarely,1
564 ,58 ,Female,Chicago,Gold,22 ,901 ,Toys,10/15/2023,Doctor,Weekly,0
922 ,44 ,Male,Los Angeles,Silver,64 ,63 ,Books,9/7/2023,Retired,Monthly,0
1013 ,24 ,Male,Los Angeles,Bronze,35 ,2561 ,Electronics,2/6/2023,Other,Monthly,1
919 ,66 ,Female,Chicago,Silver,36 ,1523 ,Electronics,3/7/2023,Engineer,Monthly,1
52 ,28 ,Male,Chicago,Silver,23 ,781 ,Sports,12/4/2023,Engineer,Weekly,1
373 ,46 ,Other,Chicago,Platinum,16 ,132 ,Sports,11/21/2023,Engineer,Daily,1
614 ,67 ,Female,Los Angeles,Silver,55 ,1497 ,Home Goods,1/11/2023,Teacher,Monthly,1
760 ,27 ,Male,Los Angeles,Silver,84 ,401 ,Sports,8/18/2023,Retired,Rarely,1
109 ,18 ,Female,Miami,Platinum,82 ,539 ,Sports,6/13/2023,Engineer,Daily,1
654 ,20 ,Male,Los Angeles,Gold,62 ,1884 ,Clothing,10/11/2023,Artist,Daily,0
827 ,48 ,Other,New York,Silver,35 ,3393 ,Electronics,6/26/2023,Student,Monthly,0
856 ,42 ,Other,Chicago,Bronze,73 ,56 ,Books,3/20/2023,Teacher,Monthly,1
808 ,67 ,Other,Miami,Gold,55 ,466 ,Books,1/5/2023,Engineer,Rarely,0
31 ,34 ,Female,Houston,Silver,11 ,2901 ,Home Goods,8/21/2023,Retired,Monthly,1
1378 ,32 ,Female,Seattle,Platinum,86 ,941 ,Sports,5/19/2023,Doctor,Rarely,0
1021 ,64 ,Male,New York,Gold,96 ,442 ,Sports,9/9/2023,Retired,Rarely,0
818 ,62 ,Other,Seattle,Gold,1 ,1622 ,Clothing,3/3/2023,Salesperson,Weekly,0
1376 ,50 ,Female,Chicago,Platinum,61 ,1721 ,Home Goods,2/19/2023,Doctor,Weekly,1
539 ,42 ,Male,New York,Silver,17 ,446 ,Home Goods,8/7/2023,Other,Weekly,1
816 ,55 ,Other,Chicago,Gold,99 ,1819 ,Home Goods,5/4/2023,Artist,Monthly,0
624 ,66 ,Other,New York,Gold,84 ,561 ,Toys,10/13/2023,Other,Weekly,1
259 ,57 ,Other,New York,Gold,85 ,899 ,Toys,2/2/2023,Other,Monthly,1
289 ,52 ,Female,New York,Silver,25 ,2280 ,Electronics,1/4/2023,Engineer,Daily,1
178 ,49 ,Male,New York,Gold,22 ,802 ,Toys,7/22/2023,Student,Daily,1
1305 ,68 ,Other,Seattle,Silver,76 ,2476 ,Home Goods,9/17/2023,Student,Weekly,0
731 ,30 ,Male,Miami,Bronze,40 ,3889 ,Electronics,2/22/2023,Retired,Rarely,0
89 ,24 ,Other,Los Angeles,Silver,27 ,314 ,Toys,11/3/2023,Teacher,Weekly,0
537 ,36 ,Male,Miami,Platinum,92 ,745 ,Toys,9/2/2023,Salesperson,Weekly,0
532 ,69 ,Female,New York,Bronze,3 ,62 ,Books,2/22/2023,Doctor,Rarely,1
237 ,61 ,Male,New York,Silver,9 ,1659 ,Home Goods,8/15/2023,Retired,Monthly,1
1309 ,,Male,Los Angeles,Platinum,,,,1/1/2023,Doctor,Weekly,0
1239 ,29 ,Other,Miami,Platinum,98 ,268 ,Toys,5/10/2023,Other,Weekly,1
623 ,31 ,Female,Miami,Platinum,37 ,1291 ,Clothing,5/16/2023,Other,Weekly,0
778 ,51 ,Female,Houston,Silver,69 ,1461 ,Clothing,11/4/2023,Teacher,Daily,0
212 ,33 ,Other,Los Angeles,Platinum,92 ,590 ,Sports,11/19/2023,Engineer,Monthly,0
608 ,53 ,Other,Los Angeles,Gold,1 ,635 ,Home Goods,7/3/2023,Salesperson,Rarely,1
1090 ,22 ,Other,Houston,Silver,44 ,2474 ,Home Goods,7/31/2023,Salesperson,Monthly,0
1317 ,30 ,Other,Seattle,Gold,4 ,308 ,Toys,3/11/2023,Artist,Monthly,1
383 ,22 ,Other,Miami,Bronze,76 ,2925 ,Electronics,4/17/2023,Engineer,Monthly,0
1022 ,42 ,Female,Chicago,Silver,75 ,238 ,Books,9/28/2023,Teacher,Daily,0
559 ,18 ,Other,Seattle,Gold,39 ,4622 ,Electronics,11/9/2023,Doctor,Monthly,0
159 ,56 ,Other,Seattle,Bronze,27 ,1972 ,Electronics,4/24/2023,Doctor,Rarely,1
768 ,62 ,Other,Chicago,Gold,85 ,294 ,Toys,5/18/2023,Doctor,Weekly,0
1325 ,29 ,Female,Chicago,Gold,30 ,2793 ,Home Goods,10/9/2023,Engineer,Monthly,0
271 ,27 ,Other,Chicago,Platinum,46 ,1066 ,Sports,7/9/2023,Other,Rarely,0
1092 ,21 ,Other,Los Angeles,Bronze,31 ,296 ,Books,1/4/2023,Teacher,Weekly,1
1295 ,66 ,Other,Houston,Gold,22 ,242 ,Books,1/17/2023,Retired,Weekly,1
425 ,60 ,Other,Chicago,Gold,30 ,491 ,Books,3/6/2023,Student,Weekly,0
538 ,53 ,Female,Los Angeles,Platinum,4 ,98 ,Books,10/28/2023,Engineer,Monthly,0
1242 ,28 ,Other,Seattle,Silver,11 ,2332 ,Home Goods,6/16/2023,Student,Rarely,1
95 ,58 ,Other,Seattle,Bronze,97 ,802 ,Toys,3/10/2023,Retired,Weekly,1
517 ,19 ,Other,Miami,Platinum,37 ,118 ,Books,5/25/2023,Retired,Rarely,1
821 ,45 ,Male,New York,Bronze,45 ,1162 ,Clothing,7/28/2023,Engineer,Weekly,0
706 ,24 ,Female,Seattle,Platinum,12 ,1712 ,Clothing,3/21/2023,Doctor,Weekly,0
1085 ,60 ,Other,Los Angeles,Gold,89 ,1512 ,Clothing,5/13/2023,Teacher,Rarely,0
1498 ,45 ,Other,Houston,Gold,85 ,186 ,Clothing,6/9/2023,Engineer,Weekly,1
952 ,22 ,Male,Miami,Silver,56 ,836 ,Toys,11/26/2023,Student,Weekly,0
260 ,27 ,Male,Los Angeles,Silver,84 ,401 ,Sports,8/18/2023,Retired,Rarely,1
603 ,39 ,Female,Houston,Gold,75 ,1429 ,Sports,2/28/2023,Engineer,Rarely,0
958 ,43 ,Female,Miami,Gold,66 ,3248 ,Electronics,2/28/2023,Other,Monthly,0
66 ,33 ,Female,Houston,Silver,32 ,68 ,Toys,8/28/2023,Artist,Monthly,0
576 ,56 ,Male,Houston,Silver,52 ,600 ,Sports,10/13/2023,Engineer,Rarely,1
360 ,45 ,Male,Seattle,Gold,94 ,2044 ,Home Goods,12/2/2023,Student,Daily,1
944 ,38 ,Female,New York,Bronze,72 ,519 ,Clothing,11/28/2023,Retired,Weekly,0
1472 ,27 ,Other,Chicago,Gold,6 ,136 ,Sports,7/19/2023,Teacher,Weekly,1
662 ,60 ,Female,Chicago,Gold,70 ,1032 ,Clothing,9/27/2023,Engineer,Rarely,0
1136 ,48 ,Female,Chicago,Gold,67 ,697 ,Toys,1/26/2023,Teacher,Rarely,1
1172 ,61 ,Other,Chicago,Silver,97 ,136 ,Books,2/19/2023,Salesperson,Daily,0
709 ,31 ,Female,Miami,Silver,44 ,1207 ,Sports,9/21/2023,Artist,Weekly,1
684 ,32 ,Other,Houston,Bronze,53 ,3580 ,Electronics,12/20/2023,Engineer,Daily,0
57 ,46 ,Male,Los Angeles,Platinum,73 ,1004 ,Home Goods,10/18/2023,Student,Monthly,1
143 ,68 ,Male,Miami,Silver,3 ,921 ,Clothing,2/26/2023,Artist,Monthly,1
852 ,34 ,Female,Miami,Gold,7 ,1893 ,Electronics,9/14/2023,Salesperson,Rarely,1
1234 ,40 ,Female,Los Angeles,Gold,18 ,2468 ,Home Goods,1/18/2023,Salesperson,Monthly,1
730 ,60 ,Other,Chicago,Bronze,46 ,863 ,Sports,5/26/2023,Doctor,Rarely,0
410 ,69 ,Female,Los Angeles,Platinum,75 ,890 ,Toys,9/1/2023,Student,Monthly,0
655 ,69 ,Other,Los Angeles,Silver,83 ,431 ,Sports,12/16/2023,Salesperson,Daily,0
641 ,38 ,Male,Seattle,Bronze,75 ,656 ,Sports,4/2/2023,Teacher,Daily,1
1141 ,38 ,Male,Seattle,Bronze,75 ,656 ,Sports,4/2/2023,Teacher,Daily,1
249 ,45 ,Male,Houston,Silver,95 ,287 ,Toys,8/29/2023,Other,Rarely,1
268 ,62 ,Other,Chicago,Gold,85 ,294 ,Toys,5/18/2023,Doctor,Weekly,0
199 ,43 ,Female,Houston,Gold,68 ,990 ,Toys,6/8/2023,Engineer,Weekly,1
1269 ,21 ,Male,Miami,Gold,99 ,320 ,Books,4/29/2023,Salesperson,Rarely,1
300 ,66 ,Male,Miami,Gold,4 ,2818 ,Home Goods,4/3/2023,Engineer,Rarely,0
205 ,54 ,Female,Seattle,Silver,7 ,3950 ,Electronics,8/4/2023,Retired,Daily,1
526 ,31 ,Male,Seattle,Platinum,94 ,1404 ,Home Goods,5/23/2023,Salesperson,Monthly,1
1098 ,38 ,Male,Houston,Platinum,48 ,345 ,Sports,12/16/2023,Engineer,Daily,1
160 ,37 ,Female,Chicago,Platinum,43 ,2102 ,Home Goods,3/27/2023,Salesperson,Daily,0
228 ,65 ,Other,Seattle,Bronze,58 ,157 ,Sports,7/2/2023,Engineer,Weekly,1
191 ,31 ,Male,Los Angeles,Platinum,37 ,69 ,Books,12/13/2023,Salesperson,Rarely,0
981 ,19 ,Male,Los Angeles,Gold,66 ,266 ,Books,2/4/2023,Student,Daily,0
585 ,60 ,Other,Los Angeles,Gold,89 ,1512 ,Clothing,5/13/2023,Teacher,Rarely,0
521 ,64 ,Male,New York,Gold,96 ,442 ,Sports,9/9/2023,Retired,Rarely,0
116 ,54 ,Other,New York,Platinum,23 ,4108 ,Electronics,7/11/2023,Student,Rarely,0
322 ,,Other,Los Angeles,Platinum,,,,10/11/2023,Engineer,Monthly,1
265 ,64 ,Other,Seattle,Bronze,8 ,498 ,Books,4/10/2023,Retired,Rarely,0
488 ,28 ,Female,Houston,Platinum,13 ,2294 ,Electronics,8/27/2023,Artist,Daily,0
859 ,26 ,Female,Seattle,Bronze,70 ,441 ,Sports,3/18/2023,Salesperson,Daily,0
984 ,,Female,Houston,Bronze,,,,6/2/2023,Other,Weekly,0
1495 ,38 ,Male,Chicago,Bronze,19 ,3405 ,Electronics,7/14/2023,Artist,Monthly,1
790 ,23 ,Male,Houston,Platinum,4 ,1607 ,Clothing,7/9/2023,Student,Monthly,1
593 ,30 ,Other,Houston,Gold,15 ,152 ,Books,1/9/2023,Doctor,Weekly,0
1008 ,37 ,Male,Seattle,Platinum,79 ,1681 ,Clothing,5/31/2023,Student,Rarely,0
1083 ,53 ,Other,Chicago,Bronze,90 ,109 ,Books,6/20/2023,Artist,Weekly,0
650 ,40 ,Male,Los Angeles,Bronze,99 ,259 ,Books,8/26/2023,Doctor,Monthly,1
88 ,22 ,Other,Houston,Silver,45 ,4849 ,Electronics,1/11/2023,Doctor,Weekly,0
719 ,65 ,Female,Los Angeles,Bronze,28 ,88 ,Books,3/28/2023,Engineer,Monthly,0
419 ,66 ,Female,Chicago,Silver,36 ,1523 ,Electronics,3/7/2023,Engineer,Monthly,1
315 ,23 ,Female,New York,Bronze,31 ,217 ,Clothing,11/20/2023,Engineer,Daily,0
886 ,37 ,Female,Los Angeles,Platinum,91 ,2632 ,Electronics,5/20/2023,Salesperson,Monthly,0
832 ,46 ,Male,Miami,Silver,18 ,2611 ,Home Goods,10/27/2023,Engineer,Rarely,0
429 ,24 ,Male,Houston,Platinum,84 ,137 ,Books,6/7/2023,Teacher,Daily,0
1469 ,25 ,Male,Los Angeles,Silver,53 ,2046 ,Home Goods,2/24/2023,Retired,Monthly,0
